"paper","experiment","effect","internalReplication","smdo","so","no","smdr","sr","nr"
1,2,1,1,15.55022,6.807295,"6",0.2433831,0.7103716,10
1,2,2,1,6.153975,2.846206,"6",1.728561,0.8564062,10
1,2,3,1,23.24239,10.11381,"6",1.832289,0.8730909,10
1,2,4,1,7.692164,3.47768,"6",1.588906,0.8350066,10
1,2,5,1,17.08841,7.466766,"6",0.1037272,0.7077009,10
1,3,1,1,3.550201,1.95388,"6",2.113865,0.9790572,10
1,3,2,1,2.485944,1.48716,"6",0.3524805,0.6446164,10
1,3,3,1,3.240964,1.81456,"6",2.056528,0.9636718,10
1,3,4,1,3.514033,1.820805,"6",0.5172411,0.721735,10
1,3,5,1,5.702851,2.664201,"6",2.245365,0.9454523,10
1,3,6,1,3.27789,1.736262,"6",1.616828,0.8391836,10
1,4,1,1,NA,NA,"unknown",2.190466,0.9353366,10
1,4,2,1,NA,NA,"unknown",1.261792,0.7901799,10
1,4,3,1,NA,NA,"unknown",3.367637,1.177291,10
1,4,4,1,NA,NA,"unknown",0.8754056,0.7482446,10
1,4,5,1,NA,NA,"unknown",3.099864,1.118354,10
1,5,1,1,4.57509,2.219154,"6",-0.3733547,1.012984,6
1,6,1,1,16.21008,7.090048,"6",7.551127,3.419234,6
5,1,1,1,83.68295,59.18968,"4",2.516912,1.774421,5
5,1,2,1,84.78352,59.96768,"4",2.501615,1.474242,6
5,1,3,1,1.100569,1.614195,"4",-0.01529775,1.178539,5
6,1,1,1,6.409596,4.747785,"4",4.317946,2.120347,6
7,1,1,1,NA,NA,"unknown",2.488591,0.951272,12
7,1,2,1,NA,NA,"unknown",3.529629,1.336782,9
7,1,3,1,NA,NA,"unknown",-0.3058768,1.008733,6
8,1,1,1,NA,NA,"unknown",NA,NA,12
8,1,2,1,NA,NA,"unknown",NA,NA,12
8,1,3,1,NA,NA,"unknown",NA,NA,12
8,1,4,1,NA,NA,"unknown",NA,NA,12
8,1,5,1,NA,NA,"unknown",NA,NA,12
8,2,1,1,NA,NA,"unknown",-0.02204385,0.3162379,42
8,2,2,1,NA,NA,"unknown",1.128866,0.3416514,42
8,2,3,1,NA,NA,"unknown",0.6494824,0.3248638,42
8,2,4,1,NA,NA,"unknown",0.1604268,0.3167614,42
9,1,1,1,NA,NA,"unknown",NA,NA,1
9,1,1,2,NA,NA,"unknown",NA,NA,1
9,1,1,3,NA,NA,"unknown",NA,NA,1
9,1,2,1,NA,NA,"unknown",NA,NA,1
9,1,2,2,NA,NA,"unknown",NA,NA,1
9,1,2,3,NA,NA,"unknown",NA,NA,1
9,1,3,1,NA,NA,"unknown",NA,NA,1
9,1,3,2,NA,NA,"unknown",NA,NA,1
9,1,3,3,NA,NA,"unknown",NA,NA,1
9,1,4,1,NA,NA,"unknown",NA,NA,1
9,1,4,2,NA,NA,"unknown",NA,NA,1
9,1,4,3,NA,NA,"unknown",NA,NA,1
9,1,5,1,NA,NA,"unknown",NA,NA,1
9,1,5,2,NA,NA,"unknown",NA,NA,1
9,1,5,3,NA,NA,"unknown",NA,NA,1
9,2,1,1,1.936373,0.6179156,"18",1.65152,0.5881236,18
9,2,1,2,1.936373,0.6179156,"18",0.8364359,0.5240193,18
9,2,1,3,1.936373,0.6179156,"18",1.003911,0.5342582,18
9,2,2,1,1.808879,0.6041794,"18",0.5176725,0.5093342,18
9,2,2,2,1.808879,0.6041794,"18",0.2291823,0.5018432,18
9,2,2,3,1.808879,0.6041794,"18",1.198008,0.5481396,18
9,2,3,1,1.804444,0.603713,"18",0.5470018,0.5104108,18
9,2,3,2,1.804444,0.603713,"18",0.7962237,0.5218123,18
9,2,3,3,1.804444,0.603713,"18",1.551303,0.5784505,18
9,2,4,1,1.814815,0.604805,"18",0.2739886,0.5026322,18
9,2,4,2,1.814815,0.604805,"18",0.5994567,0.5124776,18
9,2,4,3,1.814815,0.604805,"18",0.8763851,0.5263096,18
9,2,5,1,1.45847,0.5698966,"18",0.4652233,0.5075519,18
9,2,5,2,1.45847,0.5698966,"18",0.7230303,0.5180528,18
9,2,5,3,1.45847,0.5698966,"18",1.407293,0.5653548,18
9,2,6,1,0.1510626,0.5008016,"18",-1.471981,0.5711165,18
9,2,6,2,0.1510626,0.5008016,"18",1.793741,0.6025906,18
9,2,6,3,0.1510626,0.5008016,"18",-1.469347,0.570878,18
9,3,1,1,1.072384,0.9887708,"7",-0.16,0.8182366,8
9,3,2,1,1.127193,0.8987995,"8",0.8191387,0.8609419,8
12,2,1,1,NA,NA,"unknown",4.816496,2.312951,6
12,2,2,1,NA,NA,"unknown",NA,NA,6
12,3,1,1,NA,NA,"unknown",-1.000118,0.4330298,8
12,3,2,1,NA,NA,"unknown",-0.9381665,0.4242756,8
15,1,1,1,7.409639,3.793725,"6",-0.3177959,0.7189105,8
15,2,1,1,1.610345,0.5865725,"20",0.2240333,0.5384207,14
15,2,2,1,0.1047,0.3875564,"30",0.764,0.4777028,21
15,3,1,1,2.298168,0.6206721,"20",0.2512344,0.6354425,12
16,1,1,1,NA,NA,"6",4.986418,1.24178,14
16,1,2,1,NA,NA,"6",0.4444437,0.5856069,14
16,1,3,1,NA,NA,"6",0.1273816,0.5357858,14
16,1,4,1,NA,NA,"6",8.311091,2.458028,14
16,2,1,1,NA,NA,"unknown",6.912087,1.577608,10
16,3,1,1,8.404241,2.695019,"5",2.234498,0.9349454,4
16,3,2,1,6.745624,1.624525,"9",4.595493,1.699947,4
16,3,3,1,4.361155,0.8664309,"14",3.086355,0.8487339,8
19,1,1,1,2.482988,1.428743,"2",17.40596,5.522385,5
19,1,2,1,2.411988,1.398006,"2",11.224173,3.577458,5
19,2,1,1,25.92992,1.592021,"19",3.754594,2.925704,24
19,2,2,1,2.297534,0.6398966,"19",0.557773,0.523378,18
20,1,1,1,0.1874,0.3536948,"34",-0.2942,0.2601922,61
20,1,2,1,2.563103,0.7156877,"18",0.2914964,0.3846159,36
20,1,3,1,0.6838845,0.5210548,"21",0.645546,0.393931,35
20,1,4,1,0.8082212,0.4196541,"27",-0.2267656,0.2867232,51
20,2,1,1,2.570485,0.8596706,"13",0.3717114,0.6257102,13
20,2,2,1,1.779157,0.6036627,"18",0.86635,0.5851281,15
20,2,3,1,0.8422367,0.2132007,"25",-0.4674479,0.2425356,20
21,1,1,1,1.355951,0.7143642,"12",0.928691,0.4229055,27
21,1,2,1,3.004983,0.9704614,"12",1.263148,0.6462975,18
21,1,3,1,0.6081211,0.6497605,"12",-0.181138,0.378794,30
24,1,1,1,3.616474,1.455979,"8",-0.1249458,0.8175581,8
24,1,2,1,0.9328917,0.8737077,"8",0.6358212,0.8435552,8
24,1,3,1,5.653017,2.413732,"8",0.1556105,0.7099548,8
24,1,4,1,3.252155,1.504245,"8",0.3363867,0.7203189,8
24,1,5,1,8.586207,3.575914,"8",2.484508,1.236445,8
24,2,1,1,2.704109,1.216196,"8",-1.917353,0.7877655,12
24,2,2,1,4.625142,2.016264,"8",-1.441733,0.735658,12
24,2,3,1,5.519549,2.012887,"8",-2.789833,0.931123,12
24,2,4,1,4.569352,1.728165,"8",-2.551886,0.8892285,12
24,2,5,1,5.195923,2.235979,"8",-2.293205,0.9269369,12
24,2,6,1,6.038505,2.564616,"8",-3.154098,1.152461,10
24,3,1,1,5.508277,2.009453,"8",1.48191,1.188175,6
24,3,2,1,6.479283,2.308946,"8",4.413548,2.156939,6
24,3,3,1,6.186268,2.217855,"8",2.085728,1.347469,6
24,3,4,1,11.81928,4.876736,"8",5.788292,3.007116,6
24,3,5,1,2.975367,1.284645,"8",2.802613,1.240727,8
24,3,6,1,1.004925,0.8825389,"8",0.6332674,0.8433417,8
24,3,7,1,2.708333,1.312445,"8",3.323902,1.530159,8
24,3,8,1,20.5625,8.424334,"8",2.075854,1.103719,8
24,4,1,1,6.088486,2.819674,"6",2.171778,1.091208,8
24,4,2,1,8.120974,3.655908,"6",0.4258394,0.8287433,8
24,4,3,1,8.193411,3.686088,"6",2.363073,1.134515,8
24,4,4,1,4.836069,2.320597,"6",1.491057,0.9558736,8
24,4,5,1,2.919355,1.672521,"6",2.839691,1.35793,8
24,4,6,1,7.677419,3.924584,"6",2.677871,1.301985,8
24,4,7,1,3.680851,2.013413,"6",0.4207117,0.6497113,10
24,4,8,1,3.147803,1.690525,"6",-0.6520032,0.7302134,10
24,4,9,1,5.480214,2.5751,"6",1.624701,0.8403707,10
28,1,1,1,NA,NA,"unknown",NA,NA,1
28,1,2,1,NA,NA,"unknown",NA,NA,1
28,2,1,1,1.21875,0.6941675,"12",-0.1689181,0.5367421,14
28,2,2,1,NA,NA,"unknown",NA,NA,14
28,2,3,1,NA,NA,"unknown",-0.221784,0.5794173,14
28,3,1,1,0.8459824,1.064984,"6",0.2600372,0.3667908,32
28,3,2,1,2.18464,1.062438,"3",0.02047842,0.2500262,16
28,3,3,1,2.114064,1.03837,"3",-0.3576466,0.2578706,16
29,1,1,1,NA,NA,"unknown",9.226546,2.951765,5
29,2,1,1,26,10.63015,"3",10.30995,4.248431,3
29,2,2,1,1.3,0.7842194,"3",-2.035979,1.012028,3
29,2,3,1,17.3413,7.575296,"6",14.06732,6.172865,6
29,3,1,1,10.32306,1.038819,"10",1.439196,2.890483,23
29,3,2,1,NA,NA,"unknown",-0.05195847,0.5032096,18
37,1,1,1,2.955051,0.9236789,"13",0.4716736,0.6517493,12
37,1,1,2,2.955051,0.9236789,"13",0.5797031,0.6569566,12
37,2,1,1,3.390155,1.881477,"6",NA,NA,6
37,2,2,1,0.8026133,0.9097877,"6",NA,NA,6
37,3,1,1,12.45259,5.484074,"6",NA,NA,6
39,1,1,1,2.541195,1.098731,"10",-1.131789,0.6451894,13
39,1,2,1,NA,NA,"6",NA,NA,20
41,1,1,1,NA,NA,"unknown",1.188402,1.124636,6
41,2,1,1,1.691181,1.358683,"20",1.945032,11.67095,84
42,1,1,1,NA,NA,"unknown",NA,NA,3
42,2,1,1,2.292559,0.7673493,"14",0.2736501,0.6359977,12
42,2,2,1,5.342071,1.632133,"14",0.2623192,0.5624988,13
42,2,3,1,1.937689,0.8906913,"10",0.5447114,0.6463765,12
42,2,4,1,1.937689,0.8906913,"10",0.411894,0.6123027,13
44,1,1,1,4.079901,0.6839868,"20",1.076923,0.3851644,28
44,1,2,1,5.704528,0.679822,"20",0.968719,0.4503955,22
44,1,3,1,6.764221,0.7993867,"20",0.808731,0.4707017,21
44,1,4,1,9.370483,0.7972683,"20",0.7121782,0.5388367,15
47,1,1,1,NA,NA,"unknown",4.808061,1.336805,12
47,1,2,1,NA,NA,"unknown",5.397198,1.465532,12
47,1,3,1,2.4622,0.765441,"12",0.2634,0.41,24
47,1,4,1,2.5204,0.7733046,"12",0.3142,0.4107311,24
47,1,5,1,0.7474,0.5971599,"12",0.3127,0.4107311,24
47,1,6,1,1.7058,0.6742403,"12",0.1906,0.4091455,24
47,1,7,1,2.611829,1.509655,"6",0.1371508,0.6333472,12
47,1,8,1,3.454354,1.799265,"6",0.7591922,0.6592286,12
47,1,9,1,0.744,0.3333333,"12",0.2322847,0.2182179,24
47,1,10,1,0.819,0.3333333,"12",0.3104728,0.2182179,24
47,1,11,1,0.732,0.3333333,"12",0.2762519,0.2182179,24
47,1,12,1,0.667,0.3333333,"12",0.1526915,0.2182179,24
47,1,13,1,0.713,0.3333333,"12",0.1583788,0.2182179,24
47,2,1,1,NA,NA,"unknown",9.062117,2.629787,10
48,1,1,1,4.192694,2.07268,"6",0.8333723,1.063118,6
48,1,1,2,4.192694,2.07268,"6",4.106256,2.039976,6
48,2,1,1,0.2237983,0.03684661,"755",0.2113187,0.03799955,708
48,2,1,2,0.2237983,0.03684661,"755",0.2028008,0.03767521,719
48,2,2,1,0.3030026,0.03721969,"755",0.1696205,0.03785166,708
48,2,2,2,0.3030026,0.03721969,"755",0.2108336,0.03770586,719
48,2,3,1,0.2893928,0.03714789,"755",0.06571714,0.03762286,708
48,2,3,2,0.2893928,0.03714789,"755",0.1584129,0.03752695,719
48,2,4,1,0.08189812,0.04418201,"514",0.2104791,0.0419801,580
48,2,4,2,0.08189812,0.04418201,"514",0.174741,0.04209329,573
48,2,5,1,0.1750262,0.04444463,"514",0.1764875,0.04184483,580
48,2,5,2,0.1750262,0.04444463,"514",0.1644395,0.04205706,573
48,2,6,1,0.1690928,0.04442228,"514",0.1590314,0.04178445,580
48,2,6,2,0.1690928,0.04442228,"514",0.1579154,0.04203523,573
50,1,1,1,0.5024568,0.1066587,"99",0.426857,0.1651593,40
